Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ZCK21,03/03/2021,544,544.25,532.75,535.25,-9.75,-1.79%,261120,1794272
ZCK21,03/02/2021,537.75,548.5,531.5,545,6.75,+1.25%,322696,1799033
ZCK21,03/01/2021,552.75,554.25,537,538.25,-9.25,-1.69%,262399,1812906
ZCK21,02/26/2021,548.75,549,540,547.5,-2.25,-0.41%,316735,1810927
ZCK21,02/25/2021,556.75,558,541,549.75,-7.25,-1.30%,551515,1829166
ZCK21,02/24/2021,552.25,558,551,557,4.5,+0.81%,502755,1878631
ZCK21,02/23/2021,550.5,559.25,549.75,552.5,2,+0.36%,438336,1928495
ZCK21,02/22/2021,543.5,551,543.25,550.5,8.75,+1.62%,381756,1930540
ZCK21,02/19/2021,548,555,540.5,541.75,-7.25,-1.32%,489399,1946618
ZCK21,02/18/2021,550,552.25,546.5,549,-1.75,-0.32%,294173,1978076
ZCK21,02/17/2021,549.5,552,544.5,550.75,1,+0.18%,306024,1960546
ZCK21,02/16/2021,544.75,550,536.25,549.75,13.25,+2.47%,320943,1948459
ZCK21,02/12/2021,539.5,544.5,534.75,536.5,-3.25,-0.60%,256182,1969939
ZCK21,02/11/2021,530.5,544.5,523.25,539.75,7,+1.31%,576040,1969831
ZCK21,02/10/2021,554,554.25,530,532.75,-23.5,-4.22%,624041,1964305
ZCH21,02/09/2021,565,574.25,545,556.25,-7.5,-1.33%,816969,1970144
ZCH21,02/08/2021,548.75,565.75,548.75,563.75,15.25,+2.78%,573263,1966723
ZCH21,02/05/2021,548.5,552.25,545.5,548.5,-1.5,-0.27%,441734,1966245
ZCH21,02/04/2021,552,558,547,550,-2,-0.36%,454726,1974259
ZCH21,02/03/2021,543.25,552.5,536.5,552,9,+1.66%,432927,1967188
ZCH21,02/02/2021,549.75,552.5,540.25,543,-6.25,-1.14%,356014,1951339
ZCH21,02/01/2021,549,555.75,539,549.25,2.25,+0.41%,434526,1957914
ZCH21,01/29/2021,534.5,553.75,533.25,547,12.5,+2.34%,600710,1959084
ZCH21,01/28/2021,533.25,550.5,529,534.5,0.5,+0.09%,538187,1948211
ZCH21,01/27/2021,532.5,543.75,529.5,534,1.75,+0.33%,442160,1927322
ZCH21,01/26/2021,513,534.25,508,532.25,20.75,+4.06%,471209,1923315
ZCH21,01/25/2021,500,515.5,492.5,511.5,11,+2.20%,491466,1910924
ZCH21,01/22/2021,522.5,522.75,499.25,500.5,-23.75,-4.53%,529164,1905956
ZCH21,01/21/2021,521,531.5,519.25,524.25,2.25,+0.43%,329704,1917236
ZCH21,01/20/2021,525,526.5,512.75,522,-4,-0.76%,429230,1904855
ZCH21,01/19/2021,531.5,534.25,523.25,526,-5.5,-1.03%,392880,1893524
ZCH21,01/15/2021,534,536.5,527.75,531.5,-2.75,-0.51%,376481,1904094
ZCH21,01/14/2021,523,536.5,519,534.25,9.75,+1.86%,449195,1908872
