"Symbol: ZCY00",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2022-09-01,728.25,728.25,728.25,728.25,-15.5,,
2022-09-02,739,739,739,739,10.75,,
2022-09-06,750.75,750.75,750.75,750.75,11.75,,
2022-09-07,741,741,741,741,-9.75,,
2022-09-08,741.5,741.5,741.5,741.5,0.5,,
2022-09-09,761.75,761.75,761.75,761.75,20.25,,
2022-09-12,774.125,774.125,774.125,774.125,12.375,,
2022-09-13,775.875,775.875,775.875,775.875,1.75,,
2022-09-14,778.125,778.125,778.125,778.125,2.25,,
2022-09-15,767.5,767.5,767.5,767.5,-10.625,,
2022-09-16,759.75,759.75,759.75,759.75,-7.75,,
2022-09-19,760.75,760.75,760.75,760.75,1,,
2022-09-20,767,767,767,767,6.25,,
2022-09-21,760.5,760.5,760.5,760.5,-6.5,,
2022-09-22,763.25,763.25,763.25,763.25,2.75,,
2022-09-23,751.75,751.75,751.75,751.75,-11.5,,
2022-09-26,741.25,741.25,741.25,741.25,-10.5,,
2022-09-27,742.5,742.5,742.5,742.5,1.25,,
2022-09-28,738,738,738,738,-4.5,,
2022-09-29,737,737,737,737,-1,,
2022-09-30,737.5,737.5,737.5,737.5,0.5,,
2022-10-03,720.75,720.75,720.75,720.75,-16.75,,
2022-10-04,723,723,723,723,2.25,,
2022-10-05,710,710,710,710,-13,,
2022-10-06,701.5,701.5,701.5,701.5,-8.5,,
2022-10-07,714.25,714.25,714.25,714.25,12.75,,
2022-10-10,714.25,714.25,714.25,714.25,0,,
2022-10-11,740.5,740.5,740.5,740.5,26.25,,
2022-10-12,703,703,703,703,-37.5,,
2022-10-13,707.75,707.75,707.75,707.75,4.75,,
2022-10-14,694.75,694.75,694.75,694.75,-13,,
2022-10-17,688.5,688.5,688.5,688.5,-6.25,,
2022-10-18,686,686,686,686,-2.5,,
2022-10-19,708.25,708.25,708.25,708.25,22.25,,
2022-10-20,714,714,714,714,5.75,,
2022-10-21,714.25,714.25,714.25,714.25,0.25,,
2022-10-24,711.5,711.5,711.5,711.5,-2.75,,
2022-10-25,691.25,691.25,691.25,691.25,-20.25,,
2022-10-26,690,690,690,690,-1.25,,
2022-10-27,687.25,687.25,687.25,687.25,-2.75,,
2022-10-28,685.75,685.75,685.75,685.75,-1.5,,
2022-10-31,696.5,696.5,696.5,696.5,10.75,,
2022-11-01,702.75,702.75,702.75,702.75,6.25,,
2022-11-02,685,685,685,685,-17.75,,
2022-11-03,676.75,676.75,676.75,676.75,-8.25,,
2022-11-04,673.5,673.5,673.5,673.5,-3.25,,
2022-11-07,668.25,668.25,668.25,668.25,-5.25,,
2022-11-08,660,660,660,660,-8.25,,
2022-11-09,649.5,649.5,649.5,649.5,-10.5,,
2022-11-10,638.25,638.25,638.25,638.25,-11.25,,
2022-11-11,638.25,638.25,638.25,638.25,0,,
2022-11-14,642.25,642.25,642.25,642.25,4,,
2022-11-15,651.75,651.75,651.75,651.75,9.5,,
2022-11-16,650.25,650.25,650.25,650.25,-1.5,,
2022-11-17,652.5,652.5,652.5,652.5,2.25,,
2022-11-18,652.75,652.75,652.75,652.75,0.25,,
2022-11-21,644.5,644.5,644.5,644.5,-8.25,,
2022-11-22,646.75,646.75,646.75,646.75,2.25,,
2022-11-23,653.25,653.25,653.25,653.25,6.5,,
2022-11-25,655.5,655.5,655.5,655.5,2.25,,
2022-11-28,654.75,654.75,654.75,654.75,-0.75,,
2022-11-29,651.75,651.75,651.75,651.75,-3,,
2022-11-30,649.5,649.5,649.5,649.5,-2.25,,
2022-12-01,648,648,648,648,-1.5,,
2022-12-02,631.25,631.25,631.25,631.25,-16.75,,
2022-12-05,623,623,623,623,-8.25,,
2022-12-06,619.75,619.75,619.75,619.75,-3.25,,
