Time,Open,High,Low,Last,Change,%Chg,Volume
"06/28/2023 19:00",539,540,537.25,539.5,1.75,+0.33%,3616
"06/28/2023 13:00",538.75,539,535.25,537.75,-0.75,-0.14%,13725
"06/28/2023 12:30",539.75,539.75,534,538.5,-1,-0.19%,17537
"06/28/2023 12:00",541,544.25,539.25,539.5,-1.5,-0.28%,9770
"06/28/2023 11:30",547,547.5,539,541,-6,-1.10%,17852
"06/28/2023 11:00",550.25,550.75,546.75,547,-3.5,-0.64%,10705
"06/28/2023 10:30",546.25,552,544.75,550.5,4,+0.73%,8372
"06/28/2023 10:00",543.75,548.5,543.5,546.5,2.5,+0.46%,8859
"06/28/2023 09:30",547.25,547.25,542.25,544,-3.25,-0.59%,12962
"06/28/2023 09:00",551.5,551.5,546,547.25,-4.25,-0.77%,9530
"06/28/2023 08:30",547,554,544.5,551.5,4.75,+0.87%,28285
"06/28/2023 07:30",546.75,548.25,546,546.75,0.25,+0.05%,2210
"06/28/2023 07:00",547.25,547.5,546.25,546.5,-1,-0.18%,2922
"06/28/2023 06:30",551,551,547,547.5,-3.25,-0.59%,4999
"06/28/2023 06:00",550.75,552,550.25,550.75,0,0.00%,1582
"06/28/2023 05:30",555,555,550.5,550.75,-4,-0.72%,2551
"06/28/2023 05:00",558.25,558.25,554.25,554.75,-3.75,-0.67%,1257
"06/28/2023 04:30",555.5,559.75,555.5,558.5,3,+0.54%,2683
"06/28/2023 04:00",553.75,555.75,552.75,555.5,2,+0.36%,1373
"06/28/2023 03:30",553.75,554.5,553,553.5,-0.5,-0.09%,1034
"06/28/2023 03:00",553.5,554.5,552.5,554,0.5,+0.09%,1453
"06/28/2023 02:30",556.75,557.5,553.5,553.5,-3,-0.54%,3268
"06/28/2023 02:00",556.25,557.75,556,556.5,0.5,+0.09%,1139
"06/28/2023 01:30",560.25,560.25,555.75,556,-4.25,-0.76%,1669
"06/28/2023 01:00",560,560.5,559.5,560.25,-0.25,-0.04%,1147
"06/28/2023 00:30",561,561.75,559.5,560.5,-0.75,-0.13%,403
"06/28/2023 00:00",560.5,561.5,560.5,561.25,1,+0.18%,263
"06/27/2023 23:30",561.25,562.5,559.5,560.25,-1,-0.18%,1075
"06/27/2023 23:00",561.5,562.25,560.5,561.25,0,0.00%,412
